name,geometry,len_unit,ang_unit,rtor,rmin,rmax,length,x_len,y_len,z_len,startTheta,dTheta,startPhi,dPhi,x,y,z,rx,ry,rz
ew_mainShaft,tube,in,deg,0.00,0.471,0.505,0.500,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,0.00,0.000,0.0,0.0,0.0
ew_lip,tube,in,deg,0.00,0.471,0.611,0.125,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,0.00,0.259,0.0,0.0,0.0
ew_rlip,sphere,in,deg,0.00,0.486,0.546,0.000,0.0,0.0,0.0,63.1,26.9,0.0,360.0,0.00,0.00,0.300,0.0,0.0,0.0
ew_cap,sphere,in,deg,0.00,0.486,0.492,0.000,0.0,0.0,0.0,0.0,63.1,0.0,360.0,0.00,0.00,0.320,0.0,0.0,0.0
pumpingChamber,sphere,cm,deg,0.00,5.380,5.400,0.000,0.0,0.0,0.0,0.0,180.0,0.0,360.0,0.00,-33.02,0.000,0.0,0.0,0.0
targetChamber,tube,cm,deg,0.00,1.030,1.050,57.1700,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,0.00,0.000,0.0,0.0,0.0
endWindow_up,sphere,cm,deg,0.00,0.850,1.050,0.000,0.0,0.0,0.0,0.0,90.0,0.0,360.0,0.00,0.00,-28.950,180.0,0.0,0.0
endWindow_dn,sphere,cm,deg,0.00,0.850,1.050,0.000,0.0,0.0,0.0,0.0,90.0,0.0,360.0,0.00,0.00,28.950,0.0,0.0,0.0
transTubeEl_dn,torus,cm,deg,0.90,0.430,0.450,0.000,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.00,-3.35,25.00,180.0,-90.0,0.0
transTubeEl_up,torus,cm,deg,0.90,0.430,0.450,0.000,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.00,-3.35,-25.00,180.0,90.0,0.0
transTubeElLo_dn,torus,cm,deg,0.90,0.430,0.450,0.000,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.00,-5.15,3.45,0.0,270.0,0.0
transTubeElLo_up,torus,cm,deg,0.90,0.430,0.450,0.000,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.00,-5.15,-3.45,0.0,90.0,0.0
transTubeSphere,sphere,cm,deg,0.00,1.370,1.390,0.000,0.0,0.0,0.0,0.0,180.0,0.0,360.0,0.00,-8.33,2.540,0.0,0.0,0.0
transTubeZ_up,tube,cm,deg,0.00,0.430,0.450,21.6,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-4.25,-14.20,0.0,0.0,0.0
transTubeZ_dn,tube,cm,deg,0.00,0.430,0.450,21.6,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-4.25,14.20,0.0,0.0,0.0
transTubeY_up,tube,cm,deg,0.00,0.430,0.450,23.3,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-16.80,-2.540,90.0,0.0,0.0
transTubeYB_dn,tube,cm,deg,0.00,0.430,0.450,18.900,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-19.00,2.540,90.0,0.0,0.0
transTubeYA_dn,tube,cm,deg,0.00,0.430,0.450,2.000,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-6.10,2.540,90.0,0.0,0.0
transTubePost_dn,tube,cm,deg,0.00,0.430,0.450,2.300,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-2.20,25.91,90.0,0.0,0.0
transTubePost_up,tube,cm,deg,0.00,0.430,0.450,2.300,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,-2.20,-25.91,90.0,0.0,0.0
helmholtz_maj,tube,cm,deg,0.00,72.23,79.38,8.09,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,15.01,0.000,0.0,90.0,0.0
helmholtz_min,tube,cm,deg,0.00,63.18,67.79,6.48,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,15.01,0.000,0.0,0.0,0.0
helmholtz_rfy,tube,cm,deg,0.00,48.89,52.07,1.41,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.00,15.01,0.000,90.0,0.0,0.0
shield,box,cm,deg,0.00,0.00,0.00,0.00,225.29,256.03,225.29,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0
ladder_vert_up,box,cm,deg,0.00,0.00,0.00,0.00,1.27,20.32,3.81,0.0,0.0,0.0,0.0,-1.113,0.00,-36.3,0.0,0.0,0.0
ladder_vert_dn,box,cm,deg,0.00,0.00,0.00,0.00,1.27,20.32,3.81,0.0,0.0,0.0,0.0,0.00,0.00,36.3,0.0,0.0,0.0
ladder_above,box,cm,deg,0.00,0.00,0.00,0.00,1.27,3.81,37.0,0.0,0.0,0.0,0.0,0.00,22.64,31.42,0.0,0.0,0.0
ladder_below,box,cm,deg,0.00,0.00,0.00,0.00,1.27,3.81,11.43,0.0,0.0,0.0,0.0,0.00,-15.83,31.42,0.0,0.0,0.0
ladder_ang_above_up,box,cm,deg,0.00,0.00,0.00,0.00,1.27,3.81,24.0,0.0,0.0,0.0,0.0,0.00,15.0,7.04,44.98,0.0,0.0
ladder_ang_above_dn,box,cm,deg,0.00,0.00,0.00,0.00,1.27,3.81,28.0,0.0,0.0,0.0,0.0,0.00,15.0,60.00,-36.0,0.0,0.0
ladder_ang_below_up,box,cm,deg,0.00,0.00,0.00,0.00,1.27,3.81,28.2,0.0,0.0,0.0,0.0,0.00,-12.5,13.10,-14.4,0.0,0.0
ladder_ang_below_dn,box,cm,deg,0.00,0.00,0.00,0.00,1.27,3.81,35.0,0.0,0.0,0.0,0.0,0.00,-12.5,54.00,11.31,0.0,0.0
pu_coil_base,box,cm,deg,0.00,0.00,0.00,0.00,0.600,4.8,6.7,0.00,0.0,0.0,0.0,0.0,-2.40,0.00,0.00,0.0,0.0,0.0
pu_coil_mnt,box,cm,deg,0.00,0.00,0.00,0.00,0.800,3.0,12.0,0.00,0.0,0.0,0.0,0.0,1.50,0.00,0.00,0.0,0.0,0.0
pu_coil,box,cm,deg,0.00,0.00,0.00,0.00,0.40,3.0,12.0,0.00,0.0,0.0,0.0,0.0,1.50,0.00,0.00,0.0,0.0,0.0
pu_coil_tube,tube,cm,deg,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.0,0.0,0.0,360.0,0.00,0.00,0.0,0.0,0.0,0.0
pu_coil_elbow,torus,cm,deg,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.0,0.0,0.0,180.0,0.00,0.00,0.00,90.0,90.0,0.0
